TIERS,PLAYER NAME,TEAM,RK,POS,BEST,WORST,AVG.,STD.DEV
7,Russell Gage,ATL,134,WR54,72,271,147,34.2
7,Giovani Bernard,TB,135,RB47,80,289,144.8,33.5
7,Sony Michel,LAR,136,RB48,60,310,138.3,39.5
7,Gerald Everett,SEA,137,TE17,87,258,148.7,32.3
7,Jakobi Meyers,NE,138,WR55,64,271,142.5,44.8
7,Elijah Moore,NYJ,139,WR56,74,292,142.8,40.7
7,Ryan Fitzpatrick,WAS,140,QB19,105,284,150.1,31.8
7,Ben Roethlisberger,PIT,141,QB20,105,284,150.9,31.6
7,Mecole Hardman,KC,142,WR57,82,223,150.9,30.9
7,Cole Beasley,BUF,143,WR58,67,227,148.9,34.9
8,Cole Kmet,CHI,144,TE18,94,258,152.9,31.1
8,Henry Ruggs III,LV,145,WR59,82,234,156.2,29.4
8,Justin Fields,CHI,146,QB21,95,329,160.2,45.3
8,Austin Hooper,CLE,147,TE19,78,267,160.8,32.3
8,Alexander Mattison,MIN,148,RB49,98,245,157.8,23.5
8,Sterling Shepard,NYG,149,WR60,90,244,157.7,32.9
8,Nelson Agholor,NE,150,WR61,99,295,165.9,34
8,Blake Jarwin,DAL,151,TE20,108,267,161.8,28.9
8,Derek Carr,LV,152,QB22,110,275,166.2,33
8,Jared Cook,LAC,153,TE21,91,294,163.7,35.4
8,Los Angeles Rams,LAR,154,DST1,137,284,149.2,18.4
8,Latavius Murray,NO,155,RB50,100,277,160.4,40.6
8,Pittsburgh Steelers,PIT,156,DST2,132,278,150.7,19.1
8,Zach Ertz,PHI,157,TE22,121,291,169.2,35.8
8,Jameis Winston,NO,158,QB23,102,345,170.2,50.8
8,Trey Lance,SF,159,QB24,92,335,173.6,60.9
8,Tevin Coleman,NYJ,160,RB51,110,329,165.1,36
8,Jalen Reagor,PHI,161,WR62,101,285,173,31.5
8,Daniel Jones,NYG,162,QB25,95,284,177.7,37.5
8,Baltimore Ravens,BAL,163,DST3,134,234,158.9,15.2
8,Anthony Firkser,TEN,164,TE23,92,354,176.9,42.4
8,Jamison Crowder,NYJ,165,WR63,96,298,180.2,35.9
8,Sam Darnold,CAR,166,QB26,118,318,185.2,34.9
8,Carson Wentz,IND,167,QB27,106,284,185.6,41.2
8,Rondale Moore,ARI,168,WR64,97,349,171.1,45.6
8,Zach Wilson,NYJ,169,QB28,105,317,187.4,38.5
8,Rashaad Penny,SEA,170,RB52,126,337,181.8,32.4
8,Washington Football Team,WAS,171,DST4,140,279,163,23.6
8,Tampa Bay Buccaneers,TB,172,DST5,138,243,170.4,23.6
8,Gabriel Davis,BUF,173,WR65,86,316,186.4,37.7
8,Emmanuel Sanders,BUF,174,WR66,101,243,180.4,30.1
8,San Francisco 49ers,SF,175,DST6,124,248,171.2,19.2
8,Terrace Marshall Jr.,CAR,176,WR67,96,320,182.6,45.4
8,Bryan Edwards,LV,177,WR68,82,340,186.7,40.5
8,Justin Tucker,BAL,178,K1,123,258,174.4,11.7
8,Parris Campbell,IND,179,WR69,102,306,190.9,33
8,Rashod Bateman,BAL,180,WR70,107,366,191.1,43
8,Kenneth Gainwell,PHI,181,RB53,84,350,189.1,46.2
8,Indianapolis Colts,IND,182,DST7,145,258,177.4,23.7
8,Tre'Quan Smith,NO,183,WR71,93,276,190.3,38.5
8,Harrison Butker,KC,184,K2,132,256,181.4,12.1
8,Darrel Williams,KC,185,RB54,126,324,189.3,39.1
8,Younghoe Koo,ATL,186,K3,161,339,188.6,20.9
8,Eric Ebron,PIT,187,TE24,121,341,196.6,35.8
8,Christian Kirk,ARI,188,WR72,124,268,196.9,26.1
9,Adam Trautman,NO,189,TE25,106,369,182.4,48.2
9,Buffalo Bills,BUF,190,DST8,145,249,191.9,20.7
9,Amon-Ra St. Brown,DET,191,WR73,102,337,202,41.2
9,New England Patriots,NE,192,DST9,158,250,190.1,18.4
9,T.Y. Hilton,IND,193,WR74,95,325,189.2,46.3
9,Malcolm Brown,MIA,194,RB55,110,276,194.3,40.9
9,Greg Zuerlein,DAL,195,K4,141,261,197.9,14.3
9,Damien Williams,CHI,196,RB56,123,334,195,42.9
9,Carlos Hyde,JAC,197,RB57,122,336,189.4,43.7
9,Salvon Ahmed,MIA,198,RB58,123,327,195.5,34
9,Kansas City Chiefs,KC,199,DST10,161,286,200.8,21.9
9,A.J. Green,ARI,200,WR75,113,304,207,28.6
9,Tarik Cohen,CHI,201,RB59,80,382,189,65.8
9,New Orleans Saints,NO,202,DST11,152,320,202.7,22.5
9,Jason Sanders,MIA,203,K5,176,266,209,13.2
9,Rhamondre Stevenson,NE,204,RB60,109,366,194.2,54.6
9,Jared Goff,DET,205,QB29,113,334,232.6,45.1
9,Tyrell Williams,DET,206,WR76,97,370,204.6,54.3
9,Darius Slayton,NYG,207,WR77,147,306,214.6,27
9,Rodrigo Blankenship,IND,208,K6,177,309,224.4,20.9
9,Cleveland Browns,CLE,209,DST12,152,303,219.4,31.3
9,Miami Dolphins,MIA,210,DST13,159,329,211.2,27.8
9,Justin Jackson,LAC,211,RB61,126,331,211.3,41.8
9,Denver Broncos,DEN,212,DST14,145,307,217.2,26
9,Randall Cobb,GB,213,WR78,97,298,212.3,39.1
9,Tyler Bass,BUF,214,K7,167,346,224.3,32.3
9,Marlon Mack,IND,215,RB62,134,357,213.5,45
9,Chuba Hubbard,CAR,216,RB63,128,346,213.9,39.8
9,Chicago Bears,CHI,217,DST15,145,318,224.7,26.2
9,Los Angeles Chargers,LAC,218,DST16,159,345,221.9,22.4
9,Matt Prater,ARI,219,K8,171,330,225.6,16.2
9,Boston Scott,PHI,220,RB64,123,357,211.1,43
9,Darrynton Evans,TEN,221,RB65,146,360,217,44.1
9,Marquez Valdes-Scantling,GB,222,WR79,157,315,229.2,30
9,Robbie Gould,SF,223,K9,169,298,230.3,19.1
9,Allen Lazard,GB,224,WR80,141,298,222,29.9
9,Jason Myers,SEA,225,K10,183,283,233.5,14.3
9,Ryan Succop,TB,226,K11,176,324,230.8,24.6
9,Hayden Hurst,ATL,227,TE26,135,347,220.9,41.6
9,Mark Ingram II,HOU,228,RB66,129,355,219.9,46.8
9,Sammy Watkins,BAL,229,WR81,99,336,222.7,30.6
9,Teddy Bridgewater,DEN,230,QB30,121,356,239.5,48.6
9,Seattle Seahawks,SEA,231,DST17,159,303,241.7,22.3
9,Ty Johnson,NYJ,232,RB67,98,351,210.4,58
9,Green Bay Packers,GB,233,DST18,183,301,237.8,17.7
9,Jerick McKinnon,KC,234,RB68,130,329,231.7,44.4
9,Mason Crosby,GB,235,K12,192,309,248.2,19.3
9,Dawson Knox,BUF,236,TE27,136,319,235.5,34
9,KJ Hamler,DEN,237,WR82,133,363,235.9,30.9
9,Minnesota Vikings,MIN,238,DST19,164,318,247.3,21.8
9,Hunter Renfrow,LV,239,WR83,147,339,242.1,34.9
9,Daniel Carlson,LV,240,K13,181,308,259.1,24.6
9,Joshua Kelley,LAC,241,RB69,142,368,231.1,41
9,O.J. Howard,TB,242,TE28,132,360,250.4,38.2
10,Brandon McManus,DEN,243,K14,197,298,261.2,21.4
10,Dan Arnold,CAR,244,TE29,135,343,242.2,42.5
10,Van Jefferson,LAR,245,WR84,157,337,243.8,29.2
10,Mac Jones,NE,246,QB31,118,367,229.7,60.7
10,Chris Herndon IV,MIN,247,TE30,153,348,247.9,40.8
10,Philadelphia Eagles,PHI,248,DST20,165,317,261.9,25.1
10,Devontae Booker,NYG,249,RB70,132,349,234.1,50.5
10,Tim Patrick,DEN,250,WR85,174,348,254.8,32.6
10,Chris Boswell,PIT,251,K15,198,332,276.6,20.6
10,Josh Reynolds,TEN,252,WR86,183,330,247.9,30.9
10,Jake Elliott,PHI,253,K16,202,342,272.9,27.6
10,Nico Collins,HOU,254,WR87,148,376,248.9,45.3
10,Denzel Mims,NYJ,255,WR88,157,369,250.4,47.7
10,Wil Lutz,NO,256,K17,148,353,228.8,41.2
10,DeSean Jackson,LAR,257,WR89,158,377,252.8,30.5
10,Dustin Hopkins,WAS,258,K18,216,332,286,23.5
10,Kadarius Toney,NYG,259,WR90,160,355,266,38.1
10,Benny Snell Jr.,PIT,260,RB71,149,382,247.6,49.1
10,New York Giants,NYG,261,DST21,166,331,274.3,28.5
10,Tennessee Titans,TEN,262,DST22,200,318,277.1,24
10,Arizona Cardinals,ARI,263,DST23,176,330,276.4,32.4
10,Josh Lambo,JAC,264,K19,179,339,292,21.8
10,Taysom Hill,NO,265,QB32,116,373,300.1,43.9
10,Wayne Gallman Jr.,ATL,266,RB72,132,378,236,56.7
10,Jimmy Garoppolo,SF,267,QB33,151,385,294.8,45.5
10,Matt Gay,LAR,268,K20,195,347,262.8,37.9
10,Jimmy Graham,CHI,269,TE31,142,344,272.2,34.8
10,Anthony Miller,HOU,270,WR91,194,379,255.5,37.9
10,Samaje Perine,CIN,271,RB73,143,346,249,51.2
10,John Brown,FA,272,WR92,129,390,214.9,60.4
10,Jack Doyle,IND,273,TE32,172,371,268.7,35.8
10,Anthony McFarland Jr.,PIT,274,RB74,181,388,271,40.8
10,New York Jets,NYJ,275,DST24,201,347,294.8,24
10,Justice Hill,BAL,276,RB75,121,360,268.9,59.8
10,James Washington,PIT,277,WR93,216,383,270.2,26.9
10,Matt Breida,BUF,278,RB76,168,368,266.8,41.7
10,Ka'imi Fairbairn,HOU,279,K21,215,353,283.3,35.1
10,Dallas Cowboys,DAL,280,DST25,211,341,300.4,23.4
10,Quintez Cephus,DET,281,WR94,165,361,274.3,36.2
10,La'Mical Perine,NYJ,282,RB77,177,368,265.9,44.2
10,Amari Rodgers,GB,283,WR95,174,382,277.1,38.8
10,Graham Gano,NYG,284,K22,222,353,297.3,26.4
10,Jeff Wilson Jr.,SF,285,RB78,146,380,262.3,54.8
10,Kendrick Bourne,NE,286,WR96,151,372,280.8,38.1
10,Jacksonville Jaguars,JAC,287,DST26,213,347,312.3,19.7
10,Rashard Higgins,CLE,288,WR97,216,377,282.2,30.8
10,Donovan Peoples-Jones,CLE,289,WR98,147,380,280.3,44.8
10,Dyami Brown,WAS,290,WR99,157,378,261.6,51.1
10,Breshad Perriman,CHI,291,WR100,129,384,238.6,57
10,Michael Badgley,FA,292,K23,198,326,250.5,21
10,Keelan Cole Sr.,NYJ,293,WR101,178,409,278.1,44.2
10,Tyrod Taylor,HOU,294,QB34,153,385,288.3,48.5
10,Zach Pascal,IND,295,WR102,127,377,275.8,41.3
10,Drew Lock,DEN,296,QB35,178,383,322,36.8
10,Kyle Rudolph,NYG,297,TE33,209,393,296.3,33.3
10,D'Wayne Eskridge,SEA,298,WR103,173,364,279.3,43.4
10,Dalton Schultz,DAL,299,TE34,127,359,271.5,39
10,Pat Freiermuth,PIT,300,TE35,139,391,271.8,57.5
10,Atlanta Falcons,ATL,301,DST27,229,355,318.9,18.8
10,Carolina Panthers,CAR,302,DST28,207,341,296,29.8
10,Preston Williams,MIA,303,WR104,201,383,280.8,41.3
10,DeeJay Dallas,SEA,304,RB79,187,365,299,32
11,Ty'Son Williams,BAL,305,RB80,110,392,195.2,59.3
11,Mo Alie-Cox,IND,306,TE36,161,357,267.8,48.8
11,Joey Slye,FA,307,K24,213,353,276.1,22.6
11,Jalen Richard,LV,308,RB81,188,388,288.8,34.6
11,Ke'Shawn Vaughn,TB,309,RB82,156,386,285.3,46
11,Andy Dalton,CHI,310,QB36,167,385,328.5,35.9
11,Josh Palmer,LAC,311,WR105,137,372,262.1,54
11,Rex Burkhead,HOU,312,RB83,168,393,296.8,35.5
11,N'Keal Harry,NE,313,WR106,222,392,297.6,35.3
11,Deshaun Watson,HOU,314,QB37,111,395,307.8,62.1
11,Cairo Santos,CHI,315,K25,210,342,298.8,27.4
11,Tony Jones Jr.,NO,316,RB84,123,393,230.9,72.1
11,Jordan Akins,HOU,317,TE37,133,370,269.1,49.5
11,Scotty Miller,TB,318,WR107,229,390,314.4,33.4
11,Kalen Ballage,PIT,319,RB85,199,370,313,30.3
11,Donald Parham Jr.,LAC,320,TE38,163,360,284.6,41.1
11,Eno Benjamin,ARI,321,RB86,199,388,312,33.9
11,Tyler Conklin,MIN,322,TE39,138,389,263.6,58.2
11,Keke Coutee,IND,323,WR108,220,393,288.7,29.8
11,Ian Thomas,CAR,324,TE40,226,381,305.4,34.9
11,Cam Newton,FA,325,QB38,114,387,294.1,64.8
11,Austin Seibert,DET,326,K26,213,353,309.6,23.9
11,Demarcus Robinson,KC,327,WR109,152,382,279,52.5
11,Byron Pringle,KC,328,WR110,148,393,279.1,54
11,Will Dissly,SEA,329,TE41,209,389,303.2,32.7
11,Larry Rountree III,LAC,330,RB87,132,393,293,60.4
11,Jermar Jefferson,DET,331,RB88,190,380,315.3,37.2
11,Jordan Wilkins,IND,332,RB89,277,392,329.6,27.8
11,Tyron Johnson,JAC,333,WR111,242,382,305.9,29.3
11,Olamide Zaccheaus,ATL,334,WR112,158,375,275.3,47.8
11,Andy Isabella,ARI,335,WR113,257,418,324.9,33.5
11,Greg Ward,PHI,336,WR114,242,390,322.4,33.1
11,Travis Fulgham,PHI,337,WR115,212,376,303.4,32.4
11,C.J. Uzomah,CIN,338,TE42,163,352,276.2,45
11,Quez Watkins,PHI,339,WR116,169,375,254.7,56.9
11,Qadree Ollison,FA,340,RB90,146,370,256.7,64.4
11,Harrison Bryant,CLE,341,TE43,233,388,321.5,33.1
11,David Njoku,CLE,342,TE44,236,383,325.1,33.1
11,Javian Hawkins,TEN,343,RB91,143,393,292.7,53.6
11,Jordan Howard,PHI,344,RB92,227,392,315,32.3
11,Stephen Gostkowski,FA,345,K27,230,353,306.7,19.7
11,Jake Funk,LAR,346,RB93,187,393,297.6,41
11,Chris Evans,CIN,347,RB94,187,392,293.3,58.1
11,Miles Boykin,BAL,348,WR117,269,396,333.1,28.4
11,Tyler Kroft,NYJ,349,TE45,136,391,280.8,72.3
11,Jalen Guyton,LAC,350,WR118,216,387,317.2,46.8
11,Drew Sample,CIN,351,TE46,230,394,329.1,41.4
11,Jaret Patterson,WAS,352,RB95,188,368,289.1,48.4
11,Elijah Mitchell,SF,353,RB96,185,386,301.4,54.4
11,Kerryon Johnson,FA,354,RB97,177,388,283.9,48.8
11,Adam Humphries,WAS,355,WR119,182,378,291.9,48.7
11,Cody Parkey,CLE,356,K28,245,353,309.6,24
11,Evan McPherson,CIN,357,K29,222,353,304.8,29.6
12,Zane Gonzalez,DET,358,K30,217,332,266.9,46.4
12,Xavier Jones,FA,359,RB98,152,380,267.4,62.3
12,Kylin Hill,GB,360,RB99,185,388,302,51.9
12,Albert Okwuegbunam,DEN,361,TE47,197,384,331.5,32
12,Peyton Barber,LV,362,RB100,259,393,333,32.8
12,Houston Texans,HOU,363,DST29,276,355,322.6,20.2
12,Todd Gurley II,FA,364,RB101,170,386,308.4,49.7
12,Juwan Johnson,NO,365,TE48,142,458,274.8,74
12,Tutu Atwell,LAR,366,WR120,228,384,323.5,44.2
12,Las Vegas Raiders,LV,367,DST30,266,355,331.2,20.9
12,John Ross,NYG,368,WR121,293,661,345,50.1
12,Deonte Harris,NO,369,WR122,208,378,301,47.1
12,Le'Veon Bell,FA,370,RB102,184,386,302.4,44.5
12,Mike Boone,DEN,371,RB103,199,392,329.3,41.6
12,Cincinnati Bengals,CIN,372,DST31,280,355,332.6,16.4
12,Royce Freeman,CAR,373,RB104,195,396,333.7,39.8
12,Duke Johnson Jr.,FA,374,RB105,186,378,318.2,38.3
12,Detroit Lions,DET,375,DST32,300,355,335.4,17.2
12,Cordarrelle Patterson,ATL,376,WR123,203,379,330.7,42.6
12,Ito Smith,FA,377,RB106,252,387,332.8,27.9
